CompanyCode,CustomerCode,Document_Type,Document_Number,Credit_Control_Area,Document_Date,Net_Due_Date,Posting_Date,Credit_Control_Area_Currency,Baseline_Payment_Date,Amount_in_Local_Currency,Clearing_Date,Clearing_Document,Assignment,Reference,Text,Account,Document_Header_Text,UserCode,Arrears_by_Net_Due_Date,GLAccount,UpdateBy,DC
1054,MPOT001655,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT003057,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT003003,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,14145187.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT003346,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT000189,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT003039,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT003052,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT002940,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,6084365.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT002948,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT002949,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
1054,MPOT002950,AB,0000000000,AGMH,1-Sep-26,1-Sep-26,1-Sep-26,,1-Sep-26,0.00,,,,,Opening Balance,23580001,Opening Balance,,0,23580001,11-Sep-26,H
