Id,CustomerCode,AvailableBalance,DepositedBalance,TotalAvailableBalance,TransactionType,LastUpdated,DeductedBalance,DispatchBalance,RefundBalance,OrderNumber,ReferenceNumber,Balance
,MPOT001655,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003057,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003003,14145187.00,0,14145187.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT003346,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT000189,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003039,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003052,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002940,6084365.00,0,6084365.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002948,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002949,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002950,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002662,1331528.50,0,1331528.50,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002661,2003263.43,0,2003263.43,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002966,2000125.00,0,2000125.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002968,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT001754,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002804,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002880,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,AGRF0083,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003038,55.00,0,55.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002734,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002735,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002736,21895.00,0,21895.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002737,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT000336,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002932,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002947,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002956,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002959,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002962,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002955,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002758,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002963,1500000.00,0,1500000.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT002964,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT002933,1560.00,0,1560.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,MPOT000345,550000.00,0,550000.00,Fetch,1-Sep-26,0,0,0,0,0,Credit Balance
,AGGJ181,161620.31,0,161620.31,Fetch,1-Sep-26,0,0,0,0,0,Debit Balance
,MPOT000957,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
,MPOT003294,0.00,0,0.00,Fetch,1-Sep-26,0,0,0,0,0,Zero Balance
